group,uses_spotify
global_benchmark,1
global_benchmark,1
global_benchmark,1
global_benchmark,1
global_benchmark,0
global_benchmark,1
global_benchmark,1
global_benchmark,0
global_benchmark,1
global_benchmark,0
global_benchmark,1
global_benchmark,1
global_benchmark,0
global_benchmark,1
global_benchmark,0
global_benchmark,1
global_benchmark,1
global_benchmark,0
global_benchmark,1
global_benchmark,0
global_benchmark,0
global_benchmark,1
global_benchmark,0
global_benchmark,1
global_benchmark,0
global_benchmark,1
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,0
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,0
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,0
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,0
san_bartolome,1
san_bartolome,1
san_bartolome,1
san_bartolome,0
san_bartolome,1
